1	33.553056	-86.815000	16.892677	
2	64.325428	-148.302457	28.226128	
4	32.779481	-110.943074	66.863478	
5	34.756189	-92.281296	62.251801	
6	35.745987	-119.218778	61.560704	
8	39.465972	-106.088925	47.958380	
9	41.434697	-72.924284	52.514888	
10	39.739444	-75.558056	56.297618	
11	38.921847	-77.013178	57.114224	
12	26.979160	-81.638247	72.208254	
13	33.641579	-83.884980	60.303331	
15	20.058748	-156.212593	65.438541	
16	45.770177	-115.870823	48.454154	
17	40.483394	-88.369074	51.733756	
18	40.263735	-86.387932	51.523849	
19	41.686632	-91.757862	48.762708	
21	37.652592	-85.352658	55.289753	
22	30.401679	-91.054037	67.120364	
23	44.042356	-69.041162	47.695009	
24	39.278021	-76.766242	53.833482	
25	42.313273	-71.275408	50.288601	
26	42.914677	-84.148512	48.647524	
27	46.134637	-92.913220	27.539964	
28	32.329111	-90.182722	69.772769	
29	38.724464	-92.209825	56.140765	
30	46.762394	-109.082374	44.689002	
31	41.247486	-95.973142	54.356610	
32	37.018975	-115.855385	64.669279	
33	43.121895	-71.622826	48.150598	
34	40.642887	-74.667784	52.579207	
35	33.754007	-106.983340	59.654150	
36	42.101529	-74.802802	50.463869	
37	35.605885	-80.171188	55.522456	
38	47.517919	-102.146624	39.121531	
39	39.723867	-82.257835	54.064772	
40	35.846675	-96.217740	58.533774	
41	44.368414	-121.696113	51.055423	
42	40.193097	-76.702413	56.895638	
44	41.689612	-71.480140	51.461171	
45	35.131389	-81.405000	69.550881	
46	43.483062	-100.379042	45.841646	
47	35.594170	-84.993825	55.363554	
48	30.478050	-97.567545	68.008014	
49	40.240871	-111.220203	49.721388	
51	37.901540	-78.452479	52.212056	
53	47.280849	-121.143501	51.030612	
54	40.240877	-80.650330	51.845310	
55	43.801736	-88.975863	47.362231	
56	42.806525	-107.725703	42.097290	
